instruction,input,output,new_output
What was a good example of how our situation could be illustrated?,"On Thursday, Russian Deputy Prime Minister Rogozin stated that Russia would stop purchasing foreign military equipment available after the northwest wind helicopter carrier incident. Russian Deputy Prime Minister Rogozin said that we would no longer procure foreign military equipment available, and that the northwest wind helicopter carrier was a good example of how our situation could be illustrated.",Russian Deputy Prime Minister Rogozin,the northwest wind helicopter carrier incident
When was the first Merlin Crows nest alert helicopter deployed?,"The British Navy indicated that, in order to do its first deployment of the Queen Elizabeth Queen, in the spring of 2021, the first new generation of the Merlin Crows nest alert helicopter had been put into service and had begun operational training. The helicopter had a huge radar antenna on the outside, which had been built into a new Talles water search radar and gate dog mission system, enabled long-range air, sea-to-sea and ground tracking by high-powered radars, ensured early detection of potential threats, thus providing a critical surveillance capability for the entire fleet, and would perform tasks such as aerial surveillance and other aircraft control of the carrier attack fleet. The helicopter would enter the British Navy ' s 820 squadron and be stationed at the Caldross aviation base. The aircraft had two observers and a pilot to enable the commander of the carrier ' s assault fleet to detect, master and respond to a variety of air-to-air threats through advanced aerial sensors, and would also serve as a control centre between the carrier and F-35 fighter aircraft.",two,spring of 2021
What was the Merlin Crows nest alert helicopter built into?,"The British Navy indicated that, in order to do its first deployment of the Queen Elizabeth Queen, in the spring of 2021, the first new generation of the Merlin Crows nest alert helicopter had been put into service and had begun operational training. The helicopter had a huge radar antenna on the outside, which had been built into a new Talles water search radar and gate dog mission system, enabled long-range air, sea-to-sea and ground tracking by high-powered radars, ensured early detection of potential threats, thus providing a critical surveillance capability for the entire fleet, and would perform tasks such as aerial surveillance and other aircraft control of the carrier attack fleet. The helicopter would enter the British Navy ' s 820 squadron and be stationed at the Caldross aviation base. The aircraft had two observers and a pilot to enable the commander of the carrier ' s assault fleet to detect, master and respond to a variety of air-to-air threats through advanced aerial sensors, and would also serve as a control centre between the carrier and F-35 fighter aircraft.",two,a new Talles water search radar and gate dog mission system
Where was the Merlin Crows nest alert helicopter stationed?,"The British Navy indicated that, in order to do its first deployment of the Queen Elizabeth Queen, in the spring of 2021, the first new generation of the Merlin Crows nest alert helicopter had been put into service and had begun operational training. The helicopter had a huge radar antenna on the outside, which had been built into a new Talles water search radar and gate dog mission system, enabled long-range air, sea-to-sea and ground tracking by high-powered radars, ensured early detection of potential threats, thus providing a critical surveillance capability for the entire fleet, and would perform tasks such as aerial surveillance and other aircraft control of the carrier attack fleet. The helicopter would enter the British Navy ' s 820 squadron and be stationed at the Caldross aviation base. The aircraft had two observers and a pilot to enable the commander of the carrier ' s assault fleet to detect, master and respond to a variety of air-to-air threats through advanced aerial sensors, and would also serve as a control centre between the carrier and F-35 fighter aircraft.",two,Caldross aviation base
How many observers did the Merlin Crows nest alert helicopter have?,"The British Navy indicated that, in order to do its first deployment of the Queen Elizabeth Queen, in the spring of 2021, the first new generation of the Merlin Crows nest alert helicopter had been put into service and had begun operational training. The helicopter had a huge radar antenna on the outside, which had been built into a new Talles water search radar and gate dog mission system, enabled long-range air, sea-to-sea and ground tracking by high-powered radars, ensured early detection of potential threats, thus providing a critical surveillance capability for the entire fleet, and would perform tasks such as aerial surveillance and other aircraft control of the carrier attack fleet. The helicopter would enter the British Navy ' s 820 squadron and be stationed at the Caldross aviation base. The aircraft had two observers and a pilot to enable the commander of the carrier ' s assault fleet to detect, master and respond to a variety of air-to-air threats through advanced aerial sensors, and would also serve as a control centre between the carrier and F-35 fighter aircraft.",two,two
What was the first visit by a Chinese naval fleet to Malta?,"On 26 March, SLA reported that a team of Chinese naval escorts from the thirteenth convoy of Chinese naval carriers, the Huangshan, the Shoeyang and the Qinghai Lake, arrived in the port of Valetta, Malta, and began a friendly visit for five days. This was the first visit to Malta by a Chinese naval fleet. During the visit, the team commander Lee Xiaowau would pay a visit to Malta’s President George Abel and Commander of the Ma’s Army, Shereb.",Lee Xiaowau,a team of Chinese naval escorts from the thirteenth convoy of Chinese naval carriers
Who was the commander of the Chinese naval fleet?,"On 26 March, SLA reported that a team of Chinese naval escorts from the thirteenth convoy of Chinese naval carriers, the Huangshan, the Shoeyang and the Qinghai Lake, arrived in the port of Valetta, Malta, and began a friendly visit for five days. This was the first visit to Malta by a Chinese naval fleet. During the visit, the team commander Lee Xiaowau would pay a visit to Malta’s President George Abel and Commander of the Ma’s Army, Shereb.",Lee Xiaowau,Lee Xiaowau
Who was the Commander of the Ma's Army?,"On 26 March, SLA reported that a team of Chinese naval escorts from the thirteenth convoy of Chinese naval carriers, the Huangshan, the Shoeyang and the Qinghai Lake, arrived in the port of Valetta, Malta, and began a friendly visit for five days. This was the first visit to Malta by a Chinese naval fleet. During the visit, the team commander Lee Xiaowau would pay a visit to Malta’s President George Abel and Commander of the Ma’s Army, Shereb.",Lee Xiaowau,Shereb
How many times are flight tests planned for the BTERM project?,"According to external analysis, the sound company has a slight advantage. The BTERM project is currently conducting flight tests, which are planned six times, and has now been carried out three times. ATK expects that, in subsequent tests, the accuracy of the shell can reach 10 metres. Another precision guided shell from the naval incremental-range missile programme was tendered with BTERM, designed by the C Sra Draper Laboratory. According to ATK, the design of the BTERM utilizes the inherent precision of the gun system and takes a shorter time to fly to targets.",six,six times
How many times have flight tests been carried out for the BTERM project?,"According to external analysis, the sound company has a slight advantage. The BTERM project is currently conducting flight tests, which are planned six times, and has now been carried out three times. ATK expects that, in subsequent tests, the accuracy of the shell can reach 10 metres. Another precision guided shell from the naval incremental-range missile programme was tendered with BTERM, designed by the C Sra Draper Laboratory. According to ATK, the design of the BTERM utilizes the inherent precision of the gun system and takes a shorter time to fly to targets.",six,three
ATK expects the accuracy of the BTERM shell to reach what?,"According to external analysis, the sound company has a slight advantage. The BTERM project is currently conducting flight tests, which are planned six times, and has now been carried out three times. ATK expects that, in subsequent tests, the accuracy of the shell can reach 10 metres. Another precision guided shell from the naval incremental-range missile programme was tendered with BTERM, designed by the C Sra Draper Laboratory. According to ATK, the design of the BTERM utilizes the inherent precision of the gun system and takes a shorter time to fly to targets.",six,10 metres
Who designed the BTERM shell?,"According to external analysis, the sound company has a slight advantage. The BTERM project is currently conducting flight tests, which are planned six times, and has now been carried out three times. ATK expects that, in subsequent tests, the accuracy of the shell can reach 10 metres. Another precision guided shell from the naval incremental-range missile programme was tendered with BTERM, designed by the C Sra Draper Laboratory. According to ATK, the design of the BTERM utilizes the inherent precision of the gun system and takes a shorter time to fly to targets.",six,C Sra Draper Laboratory
How many additional AS350B3 helicopters will the US Customs and Border Defense Service procure?,"The U.S. Customs and Border Defense Service will procure an additional 50 AS350B3 helicopters, the first delivery of which will be carried out in 2009. The U.S. company for the European Helicopter states that the total value of the contract may exceed $150 million and that the aircraft will be assembled at the European Helicopter Company ' s Columbus assembly plant in Mississippi, United States, and will be delivered at a maximum production rate of one per 45 days. The 50 new aircraft will be replenished to the current 48 AS350 fleet of CBP. AS350B3 is the latest variant of AS350, known in Europe as squirrels and sold to the US market under single-star names.",50,50
When will the first delivery of the AS350B3 helicopters be carried out?,"The U.S. Customs and Border Defense Service will procure an additional 50 AS350B3 helicopters, the first delivery of which will be carried out in 2009. The U.S. company for the European Helicopter states that the total value of the contract may exceed $150 million and that the aircraft will be assembled at the European Helicopter Company ' s Columbus assembly plant in Mississippi, United States, and will be delivered at a maximum production rate of one per 45 days. The 50 new aircraft will be replenished to the current 48 AS350 fleet of CBP. AS350B3 is the latest variant of AS350, known in Europe as squirrels and sold to the US market under single-star names.",50,2009
Where will the aircraft be assembled?,"The U.S. Customs and Border Defense Service will procure an additional 50 AS350B3 helicopters, the first delivery of which will be carried out in 2009. The U.S. company for the European Helicopter states that the total value of the contract may exceed $150 million and that the aircraft will be assembled at the European Helicopter Company ' s Columbus assembly plant in Mississippi, United States, and will be delivered at a maximum production rate of one per 45 days. The 50 new aircraft will be replenished to the current 48 AS350 fleet of CBP. AS350B3 is the latest variant of AS350, known in Europe as squirrels and sold to the US market under single-star names.",50,Columbus assembly plant
What is the latest variant of the AS350 known as in Europe?,"The U.S. Customs and Border Defense Service will procure an additional 50 AS350B3 helicopters, the first delivery of which will be carried out in 2009. The U.S. company for the European Helicopter states that the total value of the contract may exceed $150 million and that the aircraft will be assembled at the European Helicopter Company ' s Columbus assembly plant in Mississippi, United States, and will be delivered at a maximum production rate of one per 45 days. The 50 new aircraft will be replenished to the current 48 AS350 fleet of CBP. AS350B3 is the latest variant of AS350, known in Europe as squirrels and sold to the US market under single-star names.",50,squirrels
What is the name of the laser-guided 70mm rocket attack system?,"The United States Navy has so far failed to demand an advanced precision weapons system II for its MQ-8B-equipment BAE system. APPKWS II is a laser-guided 70mm rocket attack system. Although MQ-8B was designed to carry weapons, the Navy has not so far decided to extend the service of MQ-8B in Afghanistan until October 2012. Its current MQ-8B will be upgraded and equipped with a weapons management computer to use APKWS II. Nosrop has been operating since 2006 at its own expense to conduct a weapons launch test for fire scouts. The company has not yet planned a subsequent MQ-8C-loading plan. The first weaponized MQ-8B will be delivered in March 2013. The Navy has also decided to extend the service of MQ-8B in the Afghan region until October 2012. Three MQ-8Bs have been deployed in Afghanistan since this March, providing full-time video of 300 hours per month.",APPKWS II,APPKWS II
When will the first weaponized MQ-8B be delivered?,"The United States Navy has so far failed to demand an advanced precision weapons system II for its MQ-8B-equipment BAE system. APPKWS II is a laser-guided 70mm rocket attack system. Although MQ-8B was designed to carry weapons, the Navy has not so far decided to extend the service of MQ-8B in Afghanistan until October 2012. Its current MQ-8B will be upgraded and equipped with a weapons management computer to use APKWS II. Nosrop has been operating since 2006 at its own expense to conduct a weapons launch test for fire scouts. The company has not yet planned a subsequent MQ-8C-loading plan. The first weaponized MQ-8B will be delivered in March 2013. The Navy has also decided to extend the service of MQ-8B in the Afghan region until October 2012. Three MQ-8Bs have been deployed in Afghanistan since this March, providing full-time video of 300 hours per month.",APPKWS II,March 2013
How many MQ-8Bs have been deployed in Afghanistan since March 2013?,"The United States Navy has so far failed to demand an advanced precision weapons system II for its MQ-8B-equipment BAE system. APPKWS II is a laser-guided 70mm rocket attack system. Although MQ-8B was designed to carry weapons, the Navy has not so far decided to extend the service of MQ-8B in Afghanistan until October 2012. Its current MQ-8B will be upgraded and equipped with a weapons management computer to use APKWS II. Nosrop has been operating since 2006 at its own expense to conduct a weapons launch test for fire scouts. The company has not yet planned a subsequent MQ-8C-loading plan. The first weaponized MQ-8B will be delivered in March 2013. The Navy has also decided to extend the service of MQ-8B in the Afghan region until October 2012. Three MQ-8Bs have been deployed in Afghanistan since this March, providing full-time video of 300 hours per month.",APPKWS II,Three
How much is CAE's additional funding based on the level of certification of British defence force training requirements?,"For CAE, the additional $222 million is based on the level of certification of British defence force training requirements, excluding contractual funding from FAST sub-contracts. In 2001, FAST was awarded a 30-year-old contract to provide comprehensive training services for the first three warships of the British Navy, valued at $740 million. For CAE, the total value of the contract is now $585 million. The contract was re-established, the training time for the third submarine was extended, and the training requirements for some of the ships were increased. CAE and Alegna Marconi enhanced their current capability by providing additional computer training and other in-house training devices.",$222 million,$222 million
How long was FAST awarded a 30-year-old contract to provide comprehensive training services for the first three warships of the British Navy?,"For CAE, the additional $222 million is based on the level of certification of British defence force training requirements, excluding contractual funding from FAST sub-contracts. In 2001, FAST was awarded a 30-year-old contract to provide comprehensive training services for the first three warships of the British Navy, valued at $740 million. For CAE, the total value of the contract is now $585 million. The contract was re-established, the training time for the third submarine was extended, and the training requirements for some of the ships were increased. CAE and Alegna Marconi enhanced their current capability by providing additional computer training and other in-house training devices.",$222 million,30 years
What was the value of FAST's 30-year-old contract to provide comprehensive training services for the first three warships of the British Navy?,"For CAE, the additional $222 million is based on the level of certification of British defence force training requirements, excluding contractual funding from FAST sub-contracts. In 2001, FAST was awarded a 30-year-old contract to provide comprehensive training services for the first three warships of the British Navy, valued at $740 million. For CAE, the total value of the contract is now $585 million. The contract was re-established, the training time for the third submarine was extended, and the training requirements for some of the ships were increased. CAE and Alegna Marconi enhanced their current capability by providing additional computer training and other in-house training devices.",$222 million,$740 million
What was the total value of FAST's 30-year-old contract to provide comprehensive training services for the first three warships of the British Navy?,"For CAE, the additional $222 million is based on the level of certification of British defence force training requirements, excluding contractual funding from FAST sub-contracts. In 2001, FAST was awarded a 30-year-old contract to provide comprehensive training services for the first three warships of the British Navy, valued at $740 million. For CAE, the total value of the contract is now $585 million. The contract was re-established, the training time for the third submarine was extended, and the training requirements for some of the ships were increased. CAE and Alegna Marconi enhanced their current capability by providing additional computer training and other in-house training devices.",$222 million,$740 million
What will the Department of Defense work with industry to develop and refine?,"According to the agreement, the United States Department of Defense will work with industry to develop and refine spectrum access techniques to increase understanding of spectrum activities, protect United States activities in the electromagnetic spectrum, and provide the United States with the capability to access and share the spectrum at any time. The notice will be published at https://beta.sam.gov/opp/206293a6f1b46e8abcea219dcac5b3/view.",spectrum access techniques,spectrum access techniques
What is the purpose of the agreement?,"According to the agreement, the United States Department of Defense will work with industry to develop and refine spectrum access techniques to increase understanding of spectrum activities, protect United States activities in the electromagnetic spectrum, and provide the United States with the capability to access and share the spectrum at any time. The notice will be published at https://beta.sam.gov/opp/206293a6f1b46e8abcea219dcac5b3/view.",spectrum access techniques,increase understanding of spectrum activities
Where will the notice be published?,"According to the agreement, the United States Department of Defense will work with industry to develop and refine spectrum access techniques to increase understanding of spectrum activities, protect United States activities in the electromagnetic spectrum, and provide the United States with the capability to access and share the spectrum at any time. The notice will be published at https://beta.sam.gov/opp/206293a6f1b46e8abcea219dcac5b3/view.",spectrum access techniques,https://beta.sam.gov/opp
How much did the Hentzen Painting Company pay for coatings for the US Army Tanks-Mobile Vehicles and Weapons Command?,"The Hentzen Painting Company in Milwaukee, Wisconsin, United States, obtained an order worth $9.2 million to provide United States Army Tanks-Mobile Vehicles and Weapons Command with coatings to withstand chemical weapons. The order was part of a $14.1 million fixed price contract. The work will be carried out in Milwaukee, Wisconsin, and is expected to be completed by 12 April 2007. On 30 November 2004, the United States Army issued two requests for bids for tanks-motorized vehicles and weapons and received three bids.",three,$9.2 million
When is the Hentzen Painting Company expected to finish coatings for the US Army Tanks-Mobile Vehicles and Weapons Command?,"The Hentzen Painting Company in Milwaukee, Wisconsin, United States, obtained an order worth $9.2 million to provide United States Army Tanks-Mobile Vehicles and Weapons Command with coatings to withstand chemical weapons. The order was part of a $14.1 million fixed price contract. The work will be carried out in Milwaukee, Wisconsin, and is expected to be completed by 12 April 2007. On 30 November 2004, the United States Army issued two requests for bids for tanks-motorized vehicles and weapons and received three bids.",three,12 April 2007
When did the US Army issue two requests for bids for tanks-motorized vehicles and weapons?,"The Hentzen Painting Company in Milwaukee, Wisconsin, United States, obtained an order worth $9.2 million to provide United States Army Tanks-Mobile Vehicles and Weapons Command with coatings to withstand chemical weapons. The order was part of a $14.1 million fixed price contract. The work will be carried out in Milwaukee, Wisconsin, and is expected to be completed by 12 April 2007. On 30 November 2004, the United States Army issued two requests for bids for tanks-motorized vehicles and weapons and received three bids.",three,30 November 2004
How many bids did the US Army receive?,"The Hentzen Painting Company in Milwaukee, Wisconsin, United States, obtained an order worth $9.2 million to provide United States Army Tanks-Mobile Vehicles and Weapons Command with coatings to withstand chemical weapons. The order was part of a $14.1 million fixed price contract. The work will be carried out in Milwaukee, Wisconsin, and is expected to be completed by 12 April 2007. On 30 November 2004, the United States Army issued two requests for bids for tanks-motorized vehicles and weapons and received three bids.",three,three
What will the SUI team of Gudrich develop?,"According to the contract, the SUI team of Gudrich will develop a SWIR camera loader, including 640x512 Arsenic Cameras, two-view field lenses, and laser indicators, to provide reliable images of day and night under any climatic and environmental conditions. Dr. Marshall J. Cohen, head of the SUI team of Gudrich Company, says that we are very pleased to be selected to develop the project and to use our expertise in arsenic SWIR imaging techniques to deliver enhanced sensors for the US Air Force.",a SWIR camera loader,SWIR camera loader
What will the SUI team of Gudrich provide?,"According to the contract, the SUI team of Gudrich will develop a SWIR camera loader, including 640x512 Arsenic Cameras, two-view field lenses, and laser indicators, to provide reliable images of day and night under any climatic and environmental conditions. Dr. Marshall J. Cohen, head of the SUI team of Gudrich Company, says that we are very pleased to be selected to develop the project and to use our expertise in arsenic SWIR imaging techniques to deliver enhanced sensors for the US Air Force.",a SWIR camera loader,enhanced sensors
Who is the head of the SUI team of Gudrich Company?,"According to the contract, the SUI team of Gudrich will develop a SWIR camera loader, including 640x512 Arsenic Cameras, two-view field lenses, and laser indicators, to provide reliable images of day and night under any climatic and environmental conditions. Dr. Marshall J. Cohen, head of the SUI team of Gudrich Company, says that we are very pleased to be selected to develop the project and to use our expertise in arsenic SWIR imaging techniques to deliver enhanced sensors for the US Air Force.",a SWIR camera loader,Dr. Marshall J. Cohen
What is the world's largest aircraft?,"On May 10, 2017, the world's largest aircraft, Airlander 10 mixed helium jet, successfully conducted a 180-minute flight test. The success of the flight test will further boost the commercial application of Airlander 10. Airlander 10 mixed helium jet was 92 metres long, 44 metres wide and 26 metres high, with a maximum weight of 10 tons, the world's largest aircraft currently capable of flying. The launch combined aircraft, helicopters and craft technology, powered by a diesel engine unit, was able to fly at an altitude of 6,100 metres for five days. The first flight was successfully carried out in 2012; during the second flight test in August 2016, when the flight was about 90 minutes ready for landing, it lost balance and damaged the cockpit; hence, during the flight test of 10 May 2017, emphasis was placed on improving landing technology.",92 metres,Airlander 10 mixed helium jet
How long was the Airlander 10 mixed helium jet?,"On May 10, 2017, the world's largest aircraft, Airlander 10 mixed helium jet, successfully conducted a 180-minute flight test. The success of the flight test will further boost the commercial application of Airlander 10. Airlander 10 mixed helium jet was 92 metres long, 44 metres wide and 26 metres high, with a maximum weight of 10 tons, the world's largest aircraft currently capable of flying. The launch combined aircraft, helicopters and craft technology, powered by a diesel engine unit, was able to fly at an altitude of 6,100 metres for five days. The first flight was successfully carried out in 2012; during the second flight test in August 2016, when the flight was about 90 minutes ready for landing, it lost balance and damaged the cockpit; hence, during the flight test of 10 May 2017, emphasis was placed on improving landing technology.",92 metres,180-minute
What was the maximum weight of the Airlander 10 mixed helium jet?,"On May 10, 2017, the world's largest aircraft, Airlander 10 mixed helium jet, successfully conducted a 180-minute flight test. The success of the flight test will further boost the commercial application of Airlander 10. Airlander 10 mixed helium jet was 92 metres long, 44 metres wide and 26 metres high, with a maximum weight of 10 tons, the world's largest aircraft currently capable of flying. The launch combined aircraft, helicopters and craft technology, powered by a diesel engine unit, was able to fly at an altitude of 6,100 metres for five days. The first flight was successfully carried out in 2012; during the second flight test in August 2016, when the flight was about 90 minutes ready for landing, it lost balance and damaged the cockpit; hence, during the flight test of 10 May 2017, emphasis was placed on improving landing technology.",92 metres,10 tons
What was the altitude of the Airlander 10 mixed helium jet?,"On May 10, 2017, the world's largest aircraft, Airlander 10 mixed helium jet, successfully conducted a 180-minute flight test. The success of the flight test will further boost the commercial application of Airlander 10. Airlander 10 mixed helium jet was 92 metres long, 44 metres wide and 26 metres high, with a maximum weight of 10 tons, the world's largest aircraft currently capable of flying. The launch combined aircraft, helicopters and craft technology, powered by a diesel engine unit, was able to fly at an altitude of 6,100 metres for five days. The first flight was successfully carried out in 2012; during the second flight test in August 2016, when the flight was about 90 minutes ready for landing, it lost balance and damaged the cockpit; hence, during the flight test of 10 May 2017, emphasis was placed on improving landing technology.",92 metres,"6,100 metres"
When was the first flight successfully carried out?,"On May 10, 2017, the world's largest aircraft, Airlander 10 mixed helium jet, successfully conducted a 180-minute flight test. The success of the flight test will further boost the commercial application of Airlander 10. Airlander 10 mixed helium jet was 92 metres long, 44 metres wide and 26 metres high, with a maximum weight of 10 tons, the world's largest aircraft currently capable of flying. The launch combined aircraft, helicopters and craft technology, powered by a diesel engine unit, was able to fly at an altitude of 6,100 metres for five days. The first flight was successfully carried out in 2012; during the second flight test in August 2016, when the flight was about 90 minutes ready for landing, it lost balance and damaged the cockpit; hence, during the flight test of 10 May 2017, emphasis was placed on improving landing technology.",92 metres,2012
What did the AMDWS provide the army's fighters with?,"According to Nogt’s announcement of 19 April, the Anti-Air Defense Workstation provided the army’s fighters with complex anti-aircraft imagery and anti-aircraft missile planning and situational awareness capabilities. The AMDWS project was conducted in June 1996 in Carson City, Nevada, and Hanzville, Alabama, and will continue to develop enabling technologies to improve the capabilities of AMDWS.",June 1996,complex anti-aircraft imagery and anti-aircraft missile planning and situational awareness capabilities
When was the AMDWS project conducted?,"According to Nogt’s announcement of 19 April, the Anti-Air Defense Workstation provided the army’s fighters with complex anti-aircraft imagery and anti-aircraft missile planning and situational awareness capabilities. The AMDWS project was conducted in June 1996 in Carson City, Nevada, and Hanzville, Alabama, and will continue to develop enabling technologies to improve the capabilities of AMDWS.",June 1996,June 1996
Where was the AMDWS project conducted?,"According to Nogt’s announcement of 19 April, the Anti-Air Defense Workstation provided the army’s fighters with complex anti-aircraft imagery and anti-aircraft missile planning and situational awareness capabilities. The AMDWS project was conducted in June 1996 in Carson City, Nevada, and Hanzville, Alabama, and will continue to develop enabling technologies to improve the capabilities of AMDWS.",June 1996,"Carson City, Nevada, and Hanzville, Alabama"
When did the Ministry of Defence decide to develop a new type of torpedo?,"In 1997, the Ministry of Defence decided to develop a new type of torpedo to replace Mark 46 torpedoes that had been in service since the 1970s. In 1999, the Ministry of Defence eventually selected the European Company for Torpedoes MU-90 torpedoes, the original type of which was ready-made. The original fish mine was planned to equip the Anzak class frigate, the AP-3C Orion and Seahawk helicopters. Now, however, the torpedo will only be equipped on board the ship.",1997,1997
What did the Ministry of Defence decide to replace Mark 46 torpedoes that had been in service since the 1970's?,"In 1997, the Ministry of Defence decided to develop a new type of torpedo to replace Mark 46 torpedoes that had been in service since the 1970s. In 1999, the Ministry of Defence eventually selected the European Company for Torpedoes MU-90 torpedoes, the original type of which was ready-made. The original fish mine was planned to equip the Anzak class frigate, the AP-3C Orion and Seahawk helicopters. Now, however, the torpedo will only be equipped on board the ship.",1997,develop a new type of torpedo
When did the Ministry of Defence select the European Company for Torpedoes MU-90 torpedoes?,"In 1997, the Ministry of Defence decided to develop a new type of torpedo to replace Mark 46 torpedoes that had been in service since the 1970s. In 1999, the Ministry of Defence eventually selected the European Company for Torpedoes MU-90 torpedoes, the original type of which was ready-made. The original fish mine was planned to equip the Anzak class frigate, the AP-3C Orion and Seahawk helicopters. Now, however, the torpedo will only be equipped on board the ship.",1997,1999
"The original fish mine was planned to equip what class frigate, AP-3C Orion and Seahawk helicopters?","In 1997, the Ministry of Defence decided to develop a new type of torpedo to replace Mark 46 torpedoes that had been in service since the 1970s. In 1999, the Ministry of Defence eventually selected the European Company for Torpedoes MU-90 torpedoes, the original type of which was ready-made. The original fish mine was planned to equip the Anzak class frigate, the AP-3C Orion and Seahawk helicopters. Now, however, the torpedo will only be equipped on board the ship.",1997,Anzak
How much did ITT Industry pay for full-speed production of the electronic countermeasures system?,"& nbsp; [British Defense News reported 7 March 2006] ITT Industry signed a $82 million contract with the United States Naval System Command for the full-speed production of the electronic countermeasures system AN/ALQ-2142 during fiscal year 2006. The system is an important component of the United States Navy integrated defence electronic warfare system for F/A-18E/F attack fighters. It will provide pilots with the capability to circumvent enemy radars. The contract requires companies to deliver 264 AlQ-2142 systems, with subsequent spare parts and related services that could bring the total contract to $454.7 million.",enemy radars,$82 million
What does the electronic countermeasures system provide pilots with the capability to circumvent?,"& nbsp; [British Defense News reported 7 March 2006] ITT Industry signed a $82 million contract with the United States Naval System Command for the full-speed production of the electronic countermeasures system AN/ALQ-2142 during fiscal year 2006. The system is an important component of the United States Navy integrated defence electronic warfare system for F/A-18E/F attack fighters. It will provide pilots with the capability to circumvent enemy radars. The contract requires companies to deliver 264 AlQ-2142 systems, with subsequent spare parts and related services that could bring the total contract to $454.7 million.",enemy radars,enemy radars
How many AlQ-2142 systems does the contract require companies to deliver?,"& nbsp; [British Defense News reported 7 March 2006] ITT Industry signed a $82 million contract with the United States Naval System Command for the full-speed production of the electronic countermeasures system AN/ALQ-2142 during fiscal year 2006. The system is an important component of the United States Navy integrated defence electronic warfare system for F/A-18E/F attack fighters. It will provide pilots with the capability to circumvent enemy radars. The contract requires companies to deliver 264 AlQ-2142 systems, with subsequent spare parts and related services that could bring the total contract to $454.7 million.",enemy radars,264
How much money did ITT Industry pay for the electronic countermeasures system?,"& nbsp; [British Defense News reported 7 March 2006] ITT Industry signed a $82 million contract with the United States Naval System Command for the full-speed production of the electronic countermeasures system AN/ALQ-2142 during fiscal year 2006. The system is an important component of the United States Navy integrated defence electronic warfare system for F/A-18E/F attack fighters. It will provide pilots with the capability to circumvent enemy radars. The contract requires companies to deliver 264 AlQ-2142 systems, with subsequent spare parts and related services that could bring the total contract to $454.7 million.",enemy radars,$82 million
What company has been awarded a contract to provide R & D and engineering services to the Joint Concept Development and Testing Agency?,"Science Applications International announced today that it has been awarded a United States Combined Forces Command contract to provide R & D and engineering services to the Joint Concept Development and Testing Agency. The total value of the contract could be $284 million for a five-year period, with irregular delivery/indeterminate numbers.",Science Applications International,Science Applications International
What is the total value of the contract for a five-year period?,"Science Applications International announced today that it has been awarded a United States Combined Forces Command contract to provide R & D and engineering services to the Joint Concept Development and Testing Agency. The total value of the contract could be $284 million for a five-year period, with irregular delivery/indeterminate numbers.",Science Applications International,$284 million
When did the installation and integration of the long-range radar system begin?,"The installation and integration of the long-range radar system began on 6 August 2019 and the transition to the testing phase is under way. The construction of the radar base is also on schedule and the construction of the current facility framework for hosting the radar system has been completed. The first long-range radar panel, approximately 27 feet high, will be delivered to the United States Missile Defense Agency in 2020 as a key sensor in its layer defence strategy, providing all-weather threat acquisition, tracking and identification data to protect the United States mainland from ballistic missile attacks. The long-range identification radar project is the latest product of the S-band radar series developed by Lockheed Martin, using representative production hardware, tactical back-end processing and software, and will be steadily upgraded to full-speed production after completion of the system-level 7-scale technical readiness test in December 2018.",6 August 2019,6 August 2019
When will the first long-range radar panel be delivered to the US Missile Defense Agency?,"The installation and integration of the long-range radar system began on 6 August 2019 and the transition to the testing phase is under way. The construction of the radar base is also on schedule and the construction of the current facility framework for hosting the radar system has been completed. The first long-range radar panel, approximately 27 feet high, will be delivered to the United States Missile Defense Agency in 2020 as a key sensor in its layer defence strategy, providing all-weather threat acquisition, tracking and identification data to protect the United States mainland from ballistic missile attacks. The long-range identification radar project is the latest product of the S-band radar series developed by Lockheed Martin, using representative production hardware, tactical back-end processing and software, and will be steadily upgraded to full-speed production after completion of the system-level 7-scale technical readiness test in December 2018.",6 August 2019,2020
What is the latest product of the S-band radar series developed by Lockheed Martin?,"The installation and integration of the long-range radar system began on 6 August 2019 and the transition to the testing phase is under way. The construction of the radar base is also on schedule and the construction of the current facility framework for hosting the radar system has been completed. The first long-range radar panel, approximately 27 feet high, will be delivered to the United States Missile Defense Agency in 2020 as a key sensor in its layer defence strategy, providing all-weather threat acquisition, tracking and identification data to protect the United States mainland from ballistic missile attacks. The long-range identification radar project is the latest product of the S-band radar series developed by Lockheed Martin, using representative production hardware, tactical back-end processing and software, and will be steadily upgraded to full-speed production after completion of the system-level 7-scale technical readiness test in December 2018.",6 August 2019,long-range identification radar project
When will the system-level 7-scale technical readiness test be completed?,"The installation and integration of the long-range radar system began on 6 August 2019 and the transition to the testing phase is under way. The construction of the radar base is also on schedule and the construction of the current facility framework for hosting the radar system has been completed. The first long-range radar panel, approximately 27 feet high, will be delivered to the United States Missile Defense Agency in 2020 as a key sensor in its layer defence strategy, providing all-weather threat acquisition, tracking and identification data to protect the United States mainland from ballistic missile attacks. The long-range identification radar project is the latest product of the S-band radar series developed by Lockheed Martin, using representative production hardware, tactical back-end processing and software, and will be steadily upgraded to full-speed production after completion of the system-level 7-scale technical readiness test in December 2018.",6 August 2019,December 2018
